id_departamento,grupo_etario,cantidad
6392,12-18,4022
6392,>18,24823
6399,0-5,822
6399,6-12,1028
6399,12-18,1224
6399,>18,8587
6406,0-5,789
6406,6-12,919
6406,12-18,1156
6406,>18,7716
6408,0-5,11620
6408,6-12,16075
6408,12-18,19542
6408,>18,138121
6410,0-5,10707
6410,6-12,15026
6410,12-18,18670
6410,>18,133579
6412,0-5,29597
6412,6-12,36232
6412,12-18,40098
6412,>18,220598
6413,0-5,7543
6413,6-12,8925
6413,12-18,10236
6413,>18,74259
6420,0-5,7455
6420,6-12,9744
6420,12-18,11692
6420,>18,71508
6427,0-5,157034
6427,6-12,193043
6427,12-18,214041
6427,>18,1273046
6434,0-5,28133
6434,6-12,37841
6434,12-18,46520
6434,>18,347585
6441,0-5,52075
6441,6-12,66893
6441,12-18,78431
6441,>18,558672
6448,0-5,901
6448,6-12,1175
6448,12-18,1343
6448,>18,8076
6455,0-5,1982
6455,6-12,2355
6455,12-18,2959
6455,>18,19839
6462,0-5,1361
6462,6-12,1585
6462,12-18,1953
6462,>18,12253
6466,0-5,443
6466,6-12,546
6466,12-18,663
6466,>18,4517
6469,0-5,3480
6469,6-12,4008
6469,12-18,4746
6469,>18,32956
6476,0-5,1302
6476,6-12,1606
6476,12-18,1897
6476,>18,13300
6483,0-5,3294
6483,6-12,3961
6483,12-18,4742
6483,>18,29420
6490,0-5,50825
6490,6-12,65571
6490,12-18,76653
6490,>18,492593
6497,0-5,8352
6497,6-12,10571
6497,12-18,12158
6497,>18,79029
6505,0-5,1935
6505,6-12,2352
6505,12-18,2676
6505,>18,15689
6511,0-5,861
6511,6-12,1058
6511,12-18,1171
6511,>18,8162
6515,0-5,25943
6515,6-12,34313
6515,12-18,40965
6515,>18,248178
6518,0-5,2519
6518,6-12,3085
6518,12-18,3581
6518,>18,23786
6525,0-5,5973
6525,6-12,7274
6525,12-18,8351
6525,>18,43162
6532,0-5,5457
6532,6-12,6743
6532,12-18,7892
6532,>18,50909
6539,0-5,48007
6539,6-12,61148
6539,12-18,70111
6539,>18,402216
6547,0-5,1922
6547,6-12,2558
6547,12-18,2853
6547,>18,17281
6553,0-5,596
6553,6-12,810
6553,12-18,914
6553,>18,6123
6560,0-5,50791
6560,6-12,65328
6560,12-18,71388
6560,>18,388249
6568,0-5,18044
6568,6-12,24608
6568,12-18,30756
6568,>18,256108
6574,0-5,1501
6574,6-12,1995
6574,12-18,2428
6574,>18,13963
6581,0-5,6914
6581,6-12,9031
6581,12-18,10861
6581,>18,74676
6588,0-5,3963
6588,6-12,4895
6588,12-18,5934
6588,>18,37571
6595,0-5,8554
6595,6-12,11123
6595,12-18,13458
6595,>18,88874
6602,0-5,2857
6602,6-12,3677
6602,12-18,3920
6602,>18,27044
6609,0-5,3474
6609,6-12,4099
6609,12-18,5012
6609,>18,32008
6616,0-5,662
6616,6-12,719
6616,12-18,722
6616,>18,5007
6623,0-5,8676
6623,6-12,10471
6623,12-18,12182
6623,>18,83658
6630,0-5,408
6630,6-12,511
6630,12-18,522
6630,>18,3172
6638,0-5,34493
6638,6-12,42505
6638,12-18,48967
6638,>18,267648
6644,0-5,3043
6644,6-12,3865
6644,12-18,4633
6644,>18,27682
6648,0-5,10170
6648,6-12,12302
6648,12-18,13904
6648,>18,65616
6651,0-5,998
6651,6-12,1236
6651,12-18,1455
6651,>18,12700
6655,0-5,936
6655,6-12,1193
6655,12-18,1238
6655,>18,8793
6658,0-5,47353
6658,6-12,60261
6658,12-18,70705
6658,>18,453453
6665,0-5,3451
6665,6-12,4031
6665,12-18,4764
6665,>18,27401
6672,0-5,1197
6672,6-12,1501
6672,12-18,1779
6672,>18,12013
6679,0-5,1734
6679,6-12,2000
6679,12-18,2190
6679,>18,13810
6686,0-5,1851
6686,6-12,2284
6686,12-18,2802
6686,>18,18681
6693,0-5,1104
6693,6-12,1342
6693,12-18,1546
6693,>18,9908
6700,0-5,1436
6700,6-12,1822
6700,12-18,2086
6700,>18,16062
6707,0-5,2716
6707,6-12,3213
6707,12-18,3911
6707,>18,25582
6714,0-5,3175
6714,6-12,3725
6714,12-18,4474
6714,>18,27882
6721,0-5,653
6721,6-12,818
6721,12-18,991
6721,>18,6880
6728,0-5,2151
6728,6-12,2599
6728,12-18,3015
6728,>18,18633
6735,0-5,2120
6735,6-12,2443
6735,12-18,2999
6735,>18,19132
6742,0-5,615
6742,6-12,731
6742,12-18,881
6742,>18,6690
6749,0-5,11498
6749,6-12,15307
6749,12-18,18054
6749,>18,126239
6756,0-5,17057
6756,6-12,22338
6756,12-18,29037
6756,>18,227543
6760,0-5,24752
6760,6-12,31904
6760,12-18,35784
6760,>18,235209
6763,0-5,12727
6763,6-12,15253
6763,12-18,17817
6763,>18,120859
6770,0-5,5781
6770,6-12,7116
6770,12-18,8280
6770,>18,47174
6778,0-5,9859
6778,6-12,12095
6778,12-18,12889
6778,>18,63085
6784,0-5,981
6784,6-12,1157
6784,12-18,1428
6784,>18,8169
6791,0-5,9785
6791,6-12,12620
6791,12-18,14987
6791,>18,107284
6798,0-5,873
6798,6-12,971
6798,12-18,1213
6798,>18,7637
6805,0-5,32611
6805,6-12,44078
6805,12-18,53284
6805,>18,316317
6812,0-5,244
6812,6-12,259
6812,12-18,270
6812,>18,1754
6819,0-5,997
6819,6-12,1351
6819,12-18,1436
6819,>18,10805
6826,0-5,4016
6826,6-12,4578
6826,12-18,5190
6826,>18,35343
6833,0-5,4260
6833,6-12,5501
6833,12-18,6283
6833,>18,45843
6840,0-5,21166
6840,6-12,28750
6840,12-18,35036
6840,>18,277364
6847,0-5,682
6847,6-12,834
6847,12-18,986
6847,>18,6586
6854,0-5,2706
6854,6-12,3189
6854,12-18,3782
6854,>18,25733
