Cueanexo,Primario,Secundario,Inicial,id_departamento
20037000,1, ,,21150
20037200, , ,,21100
20037900, , ,1,21060
20038000,1, ,,21070
20038100, , ,1,21080
20038200, , ,1,21070
20038300, ,1,,21120
20038600,1, ,,21050
20038700,1,1,1,21120
20039800,1, ,1,21070
20039900,1, ,,21110
20040000,1, ,,21070
20040100, ,1,,21130
20040200,1,1,1,21050
20040300,1, ,1,21070
20040400,1, ,,21050
20040700,1,1,1,21030
20041000,1, ,,21030
20041100,1,1,1,21040
20041200,1, ,1,21030
20041300,1, ,,21100
20041400, ,1,,21130
20041500,1,1,1,21130
20041700,1, ,,21100
20041800,1, ,,21040
20041900,1, ,,21070
20042000,1,1,1,21050
20042100,1, ,,21130
20042200,1,1,1,21040
20042400, , ,,21010
20042500,1, ,1,21030
20042600, , ,1,21080
20042700, , ,1,21120
20042800,1,1,1,21110
20043300,1, ,,21080
20043700,1, ,1,21140
20043800,1, ,,21030
20043900, , ,1,21030
20044000,1, ,1,21110
20044100,1, ,,21040
20044200, , ,1,21040
20044400, , ,1,21070
20044401, , ,1,21070
20044402, , ,1,21070
20044600,1, ,1,21050
20044700,1, ,,21110
20045100, , ,,21150
20045500,1, ,1,21040
20045600,1, ,1,21010
20045700,1, ,1,21010
20045800, , ,,21050
20046000, ,1,,21130
20046100,1, ,,21130
20046200,1, ,,21100
20046300,1, ,,21120
20046400,1, ,1,21060
20046700, , ,1,21130
20046702, , ,1,21130
20046703, , ,1,21130
20046900, ,1,,21010
20047000,1, ,,21040
20047200,1, ,,21040
20047300,1, ,,21040
20047400,1, ,,21040
20047600,1, ,,21040
20047700, , ,1,21040
20047800, ,1,,21150
20047900,1,1,1,21140
20048100,1, ,,21020
20048300, ,1,,21140
20048400,1, ,,21040
20048500,1, ,,21040
20048600,1,1,1,21110
20048700, ,1,,21070
20048900,1, ,,21130
20049000,1, ,,21150
20049100,1, ,,21030
20049200, , ,1,21030
20049300,1,1,1,21150
20049400, ,1,,21150
20049500,1, ,,21110
20049600,1,1,1,21130
20049700,1, ,,21120
20049900, ,1,,21040
20050000, ,1,,21130
20050200,1,1,1,21130
20050300,1,1,1,21040
20050400,1, ,,21010
20050600, ,1,,21030
20050800,1,1,1,21040
20050900, ,1,,21010
20051100,1,1,1,21130
20051200,1,1,1,21090
20051300,1,1,1,21090
20051400,1, ,,21090
20051600,1, ,,21150
20051800,1, ,,21150
20051900,1, ,,21150
20052000,1, ,,21040
20052100,1,1,1,21040
20052300,1, ,,21040
20052400,1, ,,21030
20052500,1, ,1,21010
20052600, , ,,21130
20052700,1,1,,21130
20052800,1, ,,21010
20053000,1, ,,21130
20053100, , ,,21130
20053200,1, ,1,21130
20053300,1, ,,21120
20053400,1,1,1,21130
20053500,1,1,1,21130
20053600,1,1,,21010
20053601, , ,,21080
20053602, , ,1,21010
20053900, , ,,21050
20054000,1, ,,21040
20054100,1,1,1,21040
20054200, , ,1,21040
20054300, ,1,,21010
20054400,1, ,,21150
20054500,1, ,1,21150
20054600,1, ,,21150
20055400, , ,1,21100
20055401, , ,1,21100
20055402, , ,1,21100
20055403, , ,1,21090
20055404, , ,1,21090
20055500, ,1,,21030
20055600,1, ,,21090
20055700,1, ,,21100
20055800,1, ,,21130
20055900, , ,1,21130
20056000,1,1,1,21120
20056100,1,1,1,21010
20056200,1,1,1,21010
20056300, ,1,,21030
20056400, , ,,21010
20056500,1,1,1,21010
20056600,1, ,,21040
20056700,1, ,,21070
20056800, ,1,,21010
20057000,1, ,,21080
20057100,1,1,1,21080
20057200,1,1,1,21020
20057500,1, ,1,21150
20057800,1, ,,21030
20057900,1,1,1,21030
20058000, , ,1,21030
20058001, , ,1,21030
20058100,1, ,,21150
20058200,1, ,,21150
20058300, ,1,,21010
20058400,1,1,,21010
20058401, , ,,21040
20058500,1, ,1,21130
20058800,1,1,1,21130
20058900,1, ,,21040
20059200,1, ,,21130
20059300,1, ,,21150
20059400,1,1,1,21120
20059500, , ,1,21040
20059600,1, ,,21040
20059800,1, ,,21150
20059900,1, ,,21120
20060000,1,1,1,21040
20060100,1, ,,21040
20060200, ,1,,21020
20060300, , ,,21030
20060500,1,1,1,21030
20060600, , ,1,21040
20060700,1, ,,21010
20061100, ,1,,21070
20061200, ,1,,21070
20061300,1,1,1,21070
20061400,1, ,1,21120
20061500,1, ,,21150
20061600,1,1,1,21070
20061700, , ,1,21010
20061701, , ,1,21010
20061703, , ,1,21040
20061704, , ,1,21040
20061800,1, ,,21110
20061900,1, ,,21120
20062000,1,1,1,21040
20062100, , ,1,21040
20062200, ,1,,21130
20062300, ,1,,21040
20062400,1,1,1,21130
20062800, ,1,,21010
20062900,1, ,,21010
20063000, , ,1,21010
20063100,1, ,,21010
20063200,1, ,1,21010
20063300,1,1,1,21010
20063500,1, ,,21030
20063700, ,1,,21080
20063800,1, ,,21080
20063900, , ,1,21080
20064100,1,1,1,21080
20064200,1, ,1,21020
20064300, ,1,,21030
20064400,1, ,,21030
20064500,1, ,,21020
20064600,1, ,,21140
20064700, , ,1,21140
20064800,1, ,,21020
20064900, ,1,,21080
20065000,1,1,,21010
20065200, ,1,,21030
20065300,1,1,1,21150
20065400,1, ,,21040
20065500,1,1,1,21050
20065600,1, ,,21050
20065800,1,1,1,21050
20065900,1, ,,21030
20066000,1, ,,21050
20066100,1, ,,21050
20066200,1, ,,21100
20066300,1,1,1,21090
20066400,1,1,1,21100
20066600, , ,1,21080
20066700,1, ,,21080
20066800,1,1,1,21080
20066900,1, ,,21080
20067000,1, ,1,21020
20067200,1,1,1,21080
20067300,1,1,1,21020
20067400,1,1,1,21120
20067500,1,1,1,21020
20067600,1,1,1,21040
20067700,1,1,1,21100
20067800,1, ,,21100
20068000, ,1,,21100
20068100,1, ,,21100
20068300,1,1,1,21100
20068400,1,1,1,21100
20068500,1,1,1,21050
20068600,1,1,1,21150
20068700,1, ,,21150
20068900,1, ,,21150
20069000,1,1,1,21030
20069100,1,1,1,21030
20069200, , ,,21030
20069400,1, ,,21100
20069500, , ,1,21100
20069502, , ,1,21100
20069504, , ,1,21100
20069600,1,1,1,21020
20069900,1,1,1,21020
20070000,1,1,1,21020
20070100,1, ,,21080
20070200, , ,1,21040
20070300, , ,1,21080
20070400, , ,,21010
20070500,1, ,,21080
20070600, , ,1,21120
20070601, , ,1,21120
20070602, , ,1,21120
20070603, , ,1,21120
20070700,1, ,,21120
20070800,1,1,1,21140
20070900, , ,1,21140
20071000,1, ,,21140
20071100,1, ,,21080
20071300, , ,1,21020
20071302, , ,1,21020
20071303, , ,1,21020
20071400,1, ,,21140
20071500, , ,,21020
20071600,1,1,1,21140
20071700,1,1,1,21140
20071800,1,1,1,21140
20072000, , ,,21030
20072100,1,1,1,21020
20072300,1,1,1,21100
20072400, ,1,,21120
20072600,1, ,,21120
20072700,1, ,,21150
20072800,1,1,1,21150
20072900,1,1,1,21140
20073000,1, ,,21140
20073100,1, ,,21140
20073200, ,1,,21150
20073300,1,1,1,21140
20073500,1, ,,21150
20073600,1, ,1,21080
20073700, , ,1,21090
20073701, , ,1,21090
20073702, , ,1,21090
20073703, , ,1,21090
20073800,1,1,1,21090
20073900,1,1,1,21140
20074000,1,1,1,21140
20074100,1, ,1,21030
20074200, , ,,21030
20074300,1, ,,21140
20074400, ,1,,21020
20074500,1, ,,21100
20074600, ,1,,21100
20074700,1,1,1,21020
20074800,1,1,1,21010
20074900,1,1,1,21010
20075100,1, ,,21100
20075300,1,1,1,21060
20075500, ,1,,21060
20075600, ,1,,21060
20075700, , ,1,21120
20075800,1, ,,21150
20076000,1, ,,21090
20076100,1, ,,21100
20076200,1, ,,21090
20076300,1, ,,21090
20076500,1, ,,21060
20076600,1, ,1,21050
20076700,1,1,1,21060
20076800,1,1,1,21010
20076900,1, ,1,21010
20077000, ,1,,21040
20077200,1, ,,21040
20077400,1, ,,21100
20077500,1, ,,21100
20077600,1,1,1,21100
20077800,1, ,,21100
20077900, ,1,,21070
20078000,1, ,,21090
20078100,1,1,1,21100
20078300,1,1,1,21120
20078400,1, ,,21120
20078500,1,1,1,21120
20078600,1, ,,21070
20078900,1, ,1,21010
20079000, , ,1,21010
20079100,1, ,,21010
20079400,1, ,,21010
20079500, , ,,21010
20079700, , ,1,21100
20079900,1, ,,21130
20080000, , ,1,21140
20080001, , ,1,21130
20080002, , ,1,21140
20080300, , ,1,21140
20080500,1, ,,21130
20080800, ,1,,21140
20080900,1, ,,21140
20081000, , ,1,21140
20081100,1, ,,21140
20081300,1, ,,21140
20081400,1, ,,21140
20081600, , ,1,21030
20081800,1, ,,21030
20082000,1, ,,21070
20082200,1,1,1,21120
20082300,1,1,1,21120
20082400,1, ,,21120
20082500, ,1,,21120
20082600,1, ,,21120
20082800,1,1,1,21060
20082900,1, ,,21070
20083000,1, ,,21070
20083100,1, ,,21070
20083200,1, ,1,21070
20083300,1,1,1,21070
20083400,1,1,1,21070
20083500, ,1,,21140
20083800, ,1,,21040
20083900, ,1,,21030
20084000, ,1,,21030
20084300, ,1,,21040
20084500,1,1,1,21120
20084600,1, ,,21070
20084800, , ,1,21070
20084801, , ,1,21110
20084802, , ,1,21110
20084803, , ,1,21110
20084804, , ,1,21070
20084900, ,1,,21110
20085000,1, ,,21110
20085200, , ,,21050
20085400, , ,,21050
20085500,1,1,1,21050
20085600,1, ,1,21110
20085900, ,1,,21110
20086000,1,1,1,21110
20086200,1,1,,21110
20086400,1, ,,21030
20086500, ,1,,21030
20086600,1,1,1,21030
20086700, ,1,,21010
20086800,1,1,1,21020
20086900,1, ,,21010
20087000, , ,,21010
20087100, ,1,,21060
20087200, , ,1,21060
20087201, , ,1,21060
20087202, , ,1,21050
20087300,1,1,1,21060
20087400,1, ,,21150
20087500,1,1,1,21080
20087600, ,1,,21060
20087700,1, ,,21060
20087800,1, ,,21110
20087900, , ,1,21050
20087902, , ,1,21150
20087903, , ,1,21060
20088000,1, ,,21060
20088100,1, ,,21150
20088200,1, ,,21060
20088300, ,1,,21060
20088400,1, ,,21070
20088500,1,1,1,21060
20088600,1,1,1,21060
20088700,1, ,,21150
20088800,1, ,,21030
20088900, , ,1,21050
20089000, , ,,21030
20089100,1, ,1,21100
20089200,1, ,,21110
20089300,1, ,,21110
20089400,1, ,,21100
20089500,1, ,,21110
20089501, , ,1,21110
20089502, ,1,,21110
20089600,1, ,,21120
20089700,1,1,1,21120
20089800,1, ,,21110
20089900,1,1,1,21110
20090100, , ,1,21050
20090200,1, ,,21050
20090300, ,1,,21110
20090400,1,1,1,21110
20090600,1, ,,21070
20090700,1, ,,21070
20090900, , ,1,21070
20091000,1,1,1,21060
20091100, ,1,,21090
20091200,1,1,1,21140
20091400,1, ,1,21030
20091600,1, ,1,21140
20091800,1,1,1,21140
20092000, ,1,,21020
20092100,1, ,1,21020
20092200,1,1,1,21020
20092500,1,1,1,21060
20092600,1,1,1,21140
20092700,1, ,,21090
20092800,1, ,,21090
20092900,1, ,,21090
20093000, ,1,,21090
20093001, ,1,,21090
20093100, , ,1,21090
20093101, , ,1,21090
20093102, , ,1,21090
20093103, , ,1,21100
20093104, , ,1,21090
20093105, , ,1,21090
20093200,1, ,,21090
20093300,1, ,,21100
20093400,1, ,,21090
20093500,1, ,,21090
20093600,1, ,,21110
20093800,1, ,,21090
20093900, ,1,,21110
20094000,1, ,1,21050
20094100,1, ,,21090
20094200, ,1,,21090
20094300,1,1,1,21090
20094400, ,1,,21090
20094500,1,1,1,21090
20094700,1, ,,21090
20094800,1, ,1,21090
20094900,1,1,1,21140
20095000, ,1,,21140
20095100,1,1,1,21140
20095300, , ,1,21130
20095400, , ,1,21140
20095401, , ,1,21150
20095402, , ,1,21150
20095500,1,1,1,21030
20095600,1,1,1,21030
20095700, ,1,,21020
20095800, ,1,,21030
20095900,1,1,1,21070
20096000,1,1,1,21100
20096100,1, ,,21100
20096200,1, ,1,21070
20096600,1,1,1,21110
20096700,1,1,1,21110
20096800,1,1,1,21110
20096900, , ,,21150
20097000,1, ,,21110
20097100,1, ,,21110
20097200,1, ,,21050
20097300, ,1,,21050
20097400,1,1,1,21050
20097500, , ,1,21050
20097501, , ,1,21050
20097502, , ,1,21050
20097503, , ,1,21050
20097600,1,1,1,21140
20097700,1,1,1,21140
20097800,1,1,1,21140
20097900,1, ,,21140
20098200,1, ,,21140
20098300,1,1,1,21110
20098400,1, ,,21120
20098500, ,1,,21120
20098600, ,1,,21120
20098700,1, ,,21120
20098800, , ,1,21120
20098900,1, ,1,21120
20099000,1,1,1,21120
20099100,1, ,,21150
20099200, , ,1,21120
20099400,1, ,,21120
20099600,1, ,,21120
20099700,1,1,1,21050
20099800,1,1,1,21050
20099900,1,1,1,21130
